id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,features
2486,Eragon,5.073,3039,Released,2006-12-14,249288105,104,False,/jqMzqcuAj1Fmtw1F4CikWaTuXFb.jpg,100000000,http://www.eragonmovie.com/,tt0449010,en,Eragon,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",24.517,/k8f8WZjTzZ6TJYrKpyayCB4zKlw.jpg,"As darkness falls, the last dragon will choose its rider.","Fantasy, Action, Adventure, Family","Fox 2000 Pictures, Davis Entertainment, Dune Entertainment, Major Studio Partners, Mid Atlantic Films, 20th Century Fox, Ingenious Media","United Kingdom, United States of America, Hungary",English,"princess, epic, based on novel or book, elves, magic, kingdom, telepathy, bravery, mythology, black magic, mythical creature, dragon, fictional war, teacher student relationship, fantasy world, wizard, teenage hero, high fantasy, sword and sorcery, based on young adult novel, good versus evil, dragon rider","Eragon In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king. Fantasy, Action, Adventure, Family"
505026,Death on the Nile,6.463,3039,Released,2022-02-09,137307235,127,False,/lRbDyjI7HEaXxflFQbYpqHRGFBJ.jpg,90000000,https://www.20thcenturystudios.com/movies/death-on-the-nile,tt7657566,en,Death on the Nile,Belgian sleuth Hercule Poirot's Egyptian vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short.,40.295,/kVr5zIAFSPRQ57Y1zE7KzmhzdMQ.jpg,Murder was just the beginning.,"Mystery, Crime, Thriller","Scott Free Productions, The Mark Gordon Company, Genre Films, 20th Century Studios","United Kingdom, United States of America","English, French","egypt, based on novel or book, detective, honeymoon, nile, remake, murder mystery, 1930s","Death on the Nile Belgian sleuth Hercule Poirot's Egyptian vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short. Mystery, Crime, Thriller"
58233,Johnny English Reborn,6.222,3039,Released,2011-09-15,160078586,101,False,/7Ix2cbT7fBhnduTP7sxzk9s2ZEA.jpg,45000000,http://www.johnnyenglishreborn.com/,tt1634122,en,Johnny English Reborn,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",17.636,/1T6qnlTVkrGr0mpgZbpSwVU5FWW.jpg,A little intelligence goes a long way,"Crime, Action, Comedy",Working Title Films,United Kingdom,"German, Cantonese, English, Mandarin, Russian","mind control, buddhist monk, cooking, prime minister, secret agent, sequel, james bond spoof, incompetence, aftercreditsstinger, assassination attempt","Johnny English Reborn The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike. Crime, Action, Comedy"
499932,The Devil All the Time,7.219,3036,Released,2020-09-11,0,138,False,/rUeqBuNDR9zN6vZV9kpEFMtQm0E.jpg,0,http://www.netflix.com/title/81028870,tt7395114,en,The Devil All the Time,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",15.215,/bVL7LGq528h3KzeNI90HOVbV5uW.jpg,Everyone ends up in the same damned place.,"Crime, Drama, Thriller","Nine Stories Productions, BorderLine Films, Bronx Moving Co.",United States of America,English,"small town, suicide, sheriff, based on novel or book, war veteran, gun, ohio, west virginia, murder, serial killer, photograph, church, gothic, madness, post world war ii, reverend, violence","The Devil All the Time In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family. Crime, Drama, Thriller"
74643,The Artist,7.453,3030,Released,2011-10-12,133432856,100,False,/bYimqNnizPUCnL5HOdoCW02IGmH.jpg,15000000,http://www.orange-studio.fr/film/264/the-artist.html,tt1655442,fr,The Artist,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",17.85,/z68py0ZqPgeacGPG54AGVRbNBS7.jpg,A breath of fresh vintage air,"Drama, Comedy, Romance","uFilm, La Petite Reine, Studio 37, La Classe américaine, JD Prod, France 3 Cinéma, Jouror Productions","Belgium, France",No Language,"movie business, hollywood, black and white, dog, filmmaking, mustache, hollywoodland, silent film, marquee, terrier, movie star, flapper, silent film star, 1920s, pets, old hollywood","The Artist Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break. Drama, Comedy, Romance"
62214,Frankenweenie,6.944,3024,Released,2012-10-04,81493846,87,False,/yfTZ2MSRWc06cBrFOsAF4Lebi4.jpg,39000000,http://movies.disney.com/frankenweenie-2012,tt1142977,en,Frankenweenie,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",28.901,/yGjVbLVdZRBlZTTQVBsj2KUjL1s.jpg,The electrifying dog is back from beyond the grave,"Animation, Comedy, Family",Tim Burton Productions,United States of America,English,"shyness, stop motion, retro, dog, animal death, animal lover","Frankenweenie When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was. Animation, Comedy, Family"
1620,Hitman,6.085,3023,Released,2007-11-21,99965753,89,False,/lkoI9rc3OhuSYSy7gK45a3Nk9HH.jpg,24000000,http://www.hitmanmovie.com/,tt0465494,en,Hitman,"A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",29.882,/h69UJOOKlrHcvhl5H2LY74N61DQ.jpg,Most believe his very existence is a sin. But others know he is a necessary evil.,"Action, Thriller, Drama","Anka Film, Daybreak Productions, Dune Entertainment, Prime Universe Productions, EuropaCorp, 20th Century Fox","France, United States of America","English, Russian, Serbian","assassin, government, hitman, secret identity, intelligence, soviet union, celibacy, secret society, power takeover, adversary, execution, killer, based on video game, doppelgänger, secret formula, action hero","Hitman A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue. Action, Thriller, Drama"
458576,Monster Hunter,6.647,3023,Released,2020-12-03,42145959,104,False,/z8TvnEVRenMSTemxYZwLGqFofgF.jpg,60000000,https://www.monsterhunter.movie,tt6475714,en,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",40.804,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg,"Behind our world, there is another.","Action, Fantasy, Adventure","CAPCOM, Constantin Film, Impact Pictures, Tencent Pictures, TOHO","China, Germany, Japan, United Kingdom",English,"giant monster, female soldier, another dimension, bow and arrow, based on video game, swordswoman, dimensional travel, egotistical, antagonistic","Monster Hunter A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home. Action, Fantasy, Adventure"
9323,Ghost in the Shell,7.927,3009,Released,1995-11-18,515905,82,False,/jP8EBGemoBTZbZGl0mGMsdupByR.jpg,3000000,https://www.lionsgate.com/movies/ghost-in-the-shell,tt0113568,ja,GHOST IN THE SHELL,"In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster.",37.693,/9gC88zYUBARRSThcG93MvW14sqx.jpg,It found a voice... Now it needs a body.,"Action, Animation, Science Fiction","Bandai Visual, Production I.G, Kodansha, Manga Entertainment","Japan, United Kingdom",Japanese,"android, man vs machine, artificial intelligence (a.i.), computer virus, cyborg, dystopia, implantat, fugitive, female protagonist, cyberpunk, based on manga, adult animation, tech noir, anime","Ghost in the Shell In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster. Action, Animation, Science Fiction"
212778,Chef,7.121,3004,Released,2014-05-08,45967935,114,False,/12rDMkiQFeXrLhlIbJpArL8wOHf.jpg,11000000,http://chefthefilm.com/,tt2883512,en,Chef,"When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love.",20.584,/yMtKHR6VG1Yagvv5F7IFpsGBm66.jpg,Starting from scratch never tasted so good.,Comedy,"Altus Media, Fairview Entertainment, Prescience",United States of America,"English, Spanish","parent child relationship, restaurant owner, road trip, food, chef, ex-husband ex-wife relationship, twitter, social media, duringcreditsstinger, food truck, gastronomia","Chef When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love. Comedy"
11247,A Cinderella Story,6.5,3004,Released,2004-07-16,70067909,95,False,/aGmkdYMadabH1rNpKVWtmT7rCGh.jpg,19000000,https://www.warnerbros.com/movies/cinderella-story,tt0356470,en,A Cinderella Story,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",26.336,/3d6Nu5c7BSo5BrH2xE1pnj3yNrc.jpg,Once upon a time... can happen any time.,"Comedy, Family, Romance","Dylan Sellers Productions, Gaylord Films, Clifford Werber Productions, Warner Bros. Pictures","Canada, United States of America","Czech, English, German","high school, work, jealousy, american football, stepmother, school party, orphan, disguise, teenage romance, stepsister, modern fairy tale","A Cinderella Story Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance. Comedy, Family, Romance"
6795,Zathura: A Space Adventure,6.409,3002,Released,2005-11-06,65079104,101,False,/2DKpjWI0j6eRhF3lPUE4lc7wqP0.jpg,65000000,https://www.sonypictures.com/movies/zathura,tt0406375,en,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",23.535,/g0HLEZfqJp5dRxMzkgZwW9puP7N.jpg,Adventure Is Waiting,"Science Fiction, Adventure, Family","Teitler Film, Michael De Luca Productions, Columbia Pictures, Radar Pictures",United States of America,English,"based on novel or book, killer robot, house, time travel, giant lizard, alien, space, board game, astronaut, alternate reality, brother brother relationship","Zathura: A Space Adventure After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home. Science Fiction, Adventure, Family"
2252,Eastern Promises,7.362,2999,Released,2007-09-14,56106607,101,False,/n8qBEB8gMTrtm8O0DTTw8xEiUcb.jpg,51500000,http://www.focusfeatures.com/easternpromises/,tt0765443,en,Eastern Promises,"A Russian teenager, living in London, dies during childbirth but leaves clues to a midwife in her journal, that could tie her child to a rape involving a violent Russian mob family.",24.135,/dpiJWb4NrWgcOg2rusuLhDM0hTm.jpg,Every sin leaves a mark.,"Thriller, Crime, Mystery","Focus Features, BBC Film, Astral Media, Corus Entertainment, Téléfilm Canada, Serendipity Point Films, Scion Films, Shine Pictures, Kudos, Eastern Promises Film Productions, Eastern Promises Films Limited, The Movie Network, Movie Central, Super Écran","Canada, United Kingdom, United States of America","English, Russian, Turkish, Ukrainian, Urdu","chauffeur, london, england, prostitute, jealousy, rape, tattoo, hitman, parent child relationship, bratva (russian mafia), gangster, human trafficking, diary, midwife, murder, statutory rape, orphan, brutality, motorcycle, disposing of a dead body, bathhouse, empathy","Eastern Promises A Russian teenager, living in London, dies during childbirth but leaves clues to a midwife in her journal, that could tie her child to a rape involving a violent Russian mob family. Thriller, Crime, Mystery"
328425,The Gift,6.697,2995,Released,2015-07-31,58978653,108,False,/iKzLQg7xzMN3P9I2zE1CGaVPoC9.jpg,5000000,https://uphe.com/movies/the-gift,tt4178092,en,The Gift,Simon and Robyn are a young married couple whose life is going as planned until a chance run-in with Simon's high school acquaintance sends their world into a tailspin.,16.035,/kH3qLP8pn68Xq5XwvmPkCyaAU7W.jpg,Not every gift is welcome.,"Thriller, Mystery, Drama","Blumhouse Productions, Blue-Tongue Films, Ahimsa Films","Australia, United States of America",English,"chicago, illinois, husband wife relationship, married couple, phobia, psychological thriller, los angeles, california, suburb, dog, new home, next door neighbor, moving in, new job, dinner party, odd, secrecy, gift, anxiety, high school classmates, unexpected visit, work from home","The Gift Simon and Robyn are a young married couple whose life is going as planned until a chance run-in with Simon's high school acquaintance sends their world into a tailspin. Thriller, Mystery, Drama"
384521,The Cloverfield Paradox,5.594,2993,Released,2018-02-04,0,102,False,/120mn0ZPhbDWISY2cmWSYUGWCzi.jpg,45000000,https://www.netflix.com/title/80134431,tt2548396,en,The Cloverfield Paradox,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",19.542,/vJi2ExTcWdJR3150VPKqqtdGxsT.jpg,The future unleashed every thing,"Horror, Science Fiction, Action, Thriller","Paramount, Bad Robot",United States of America,English,"experiment, disorientation, alien, space, scientist, space station, alternative universe, parallel universe","The Cloverfield Paradox Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality. Horror, Science Fiction, Action, Thriller"
40805,The Green Hornet,5.566,2987,Released,2011-01-12,227817248,119,False,/aBCn1z1tJGivVhY1nHSrXOQqQwG.jpg,120000000,http://www.sonypictures.com/movies/thegreenhornet/,tt0990407,en,The Green Hornet,"Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky.",20.828,/q1fXWEoZXogYjAUy32pUc6NL2IH.jpg,Breaking the Law to Protect It.,"Action, Crime, Comedy","Original Film, Reliance Big Entertainment, Sony Pictures, Columbia Pictures",United States of America,"English, Mandarin","martial arts, assassin, bomb, superhero, nightclub, vandalism, training, knife, trap, playboy, revenge, kato, meth lab","The Green Hornet Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky. Action, Crime, Comedy"
285783,The Walk,6.975,2986,Released,2015-09-30,61181942,123,False,/9I1qlzhqfRZE8wdRzeeMrZTDlUa.jpg,35000000,http://www.sonypictures.com/movies/thewalk/,tt3488710,en,The Walk,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,18.724,/tiESRqurrZwAC0hpERogOsBhjeg.jpg,Every dream begins with a single step,"Drama, Crime, Comedy, Thriller","TriStar Pictures, ImageMovers, Sony Pictures",United States of America,"French, English","new york city, skyscraper, 1970s, biography, based on true story, tightrope, planning, world trade center, trespass","The Walk The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974. Drama, Crime, Comedy, Thriller"
3594,The Number 23,6.402,2979,Released,2007-02-23,77566815,101,False,/kP2DsgcIwuubm3WBvmxJcWFKzL2.jpg,30000000,http://wwws.warnerbros.de/number23/,tt0481369,en,The Number 23,"Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize.",22.455,/mlNU8a1SkTu6cKA4LAoZxfNPng0.jpg,First it takes hold of your mind...then it takes hold of your life.,"Thriller, Drama, Mystery","Firm Films, New Line Cinema, Contrafilm","Germany, United States of America",English,"hotel room, suicide, based on novel or book, obsession, sadomasochism, psychological thriller, killer, family, numbers","The Number 23 Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize. Thriller, Drama, Mystery"
9489,You've Got Mail,6.668,2976,Released,1998-12-17,250821495,119,False,/wdVM1soj2s9ixta8R7NDwoZA12Y.jpg,65000000,http://youvegotmail.warnerbros.com,tt0128853,en,You've Got Mail,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.",24.226,/dXog7dbW6b9DHzG6VOLfyn5ay1S.jpg,Someone you pass on the street may already be the love of your life.,"Comedy, Romance",Warner Bros. Pictures,United States of America,English,"bookshop, businessman, anonymous letter, romantic comedy, falling in love, manhattan, new york city, class conflict, online dating, woman director, christmas, online relationship, internet romance, parfumerie","You've Got Mail Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business. Comedy, Romance"
